code	codevn	libelle	type	
A	A0_A	Forêt - Arbres > 5m de haut	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'A','A0_A','Forêt - Arbres > 5m de haut'),
B	B0_B	Buissons/jeune forêt < 5m	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'B','B0_B','Buissons/jeune forêt < 5m'),
C	C0_C	Pelouses, marais et landes	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'C','C0_C','Pelouses, marais et landes'),
D	D0_D	Milieux agricoles	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'D','D0_D','Milieux agricoles'),
E	E0_E	Milieux bâtis ou urbanisés	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'E','E0_E','Milieux bâtis ou urbanisés'),
F	F0_F	Milieux aquatiques	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'F','F0_F','Milieux aquatiques'),
G	G0_G	Rochers terrestres ou côtiers	HAB_ENV	(pr_vigienature.fct_get_nomenclature_type('HAB_ENV'),'G','G0_G','Rochers terrestres ou côtiers'),
1	A1_1	Feuillus	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','A1_1','Feuillus'),
2	A1_2	Conifères	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','A1_2','Conifères'),
3	A1_3	Mixte (> 10% de chaque)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','A1_3','Mixte (> 10% de chaque)'),
1	B1_1	Forêt de régénération	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','B1_1','Forêt de régénération'),
2	B1_2	Buissons calcicoles	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','B1_2','Buissons calcicoles'),
3	B1_3	Lande	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','B1_3','Lande'),
4	B1_4	Jeune taillis	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'4','B1_4','Jeune taillis'),
5	B1_5	Nouvelle plantation	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'5','B1_5','Nouvelle plantation'),
6	B1_6	Coupe « à blanc »	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','B1_6','Coupe « à blanc »'),
7	B1_7	Autres	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'7','B1_7','Autres'),
1	C1_1	Pelouse calcaire sèche	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','C1_1','Pelouse calcaire sèche'),
2	C1_2	Lande herbacée	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','C1_2','Lande herbacée'),
3	C1_3	Lande de bruyère	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','C1_3','Lande de bruyère'),
4	C1_4	Pelouse humide naturelle	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'4','C1_4','Pelouse humide naturelle'),
5	C1_5	Autres pelouses sèches (mur, fossé)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'5','C1_5','Autres pelouses sèches (mur, fossé)'),
6	C1_6	Pelouse inondée/marais pâturé	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','C1_6','Pelouse inondée/marais pâturé'),
7	C1_7	Roselière	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'7','C1_7','Roselière'),
